Date,Open,High,Low,Close
6/8/2014 21:00:00,1.36614,1.36766,1.3621,1.36425
6/9/2014 21:00:00,1.36433,1.36689,1.35825,1.35936
6/10/2014 21:00:00,1.35918,1.36018,1.35334,1.35474
6/11/2014 21:00:00,1.35473,1.3557,1.35215,1.35311
6/12/2014 21:00:00,1.35332,1.35719,1.35122,1.35517
6/15/2014 21:00:00,1.35518,1.35789,1.3521,1.35376
6/16/2014 21:00:00,1.35386,1.35793,1.35129,1.35731
6/17/2014 21:00:00,1.35725,1.35872,1.35363,1.35465
6/18/2014 21:00:00,1.35449,1.35995,1.35417,1.35952
6/19/2014 21:00:00,1.35902,1.36433,1.35841,1.36077
6/22/2014 21:00:00,1.36063,1.36339,1.35643,1.35995
6/23/2014 21:00:00,1.35954,1.36133,1.3574,1.36042
6/24/2014 21:00:00,1.36029,1.36276,1.35833,1.36055
6/25/2014 21:00:00,1.36072,1.36512,1.36004,1.36284
6/26/2014 21:00:00,1.36291,1.36413,1.35758,1.36111
6/29/2014 21:00:00,1.36113,1.36504,1.36099,1.36482
6/30/2014 21:00:00,1.3644,1.36976,1.36402,1.36919
7/1/2014 21:00:00,1.36922,1.37005,1.36754,1.36789
7/2/2014 21:00:00,1.3679,1.36824,1.3642,1.3659
7/3/2014 21:00:00,1.36586,1.36643,1.35961,1.36098
7/6/2014 21:00:00,1.361,1.36111,1.35854,1.35943
7/7/2014 21:00:00,1.35954,1.36091,1.35759,1.36044
7/8/2014 21:00:00,1.36043,1.36173,1.3588,1.36117
7/9/2014 21:00:00,1.36121,1.36484,1.36022,1.36411
7/10/2014 21:00:00,1.3641,1.36506,1.35891,1.36085
7/13/2014 21:00:00,1.36084,1.36248,1.35919,1.36045
7/14/2014 21:00:00,1.36022,1.36402,1.35974,1.36188
7/15/2014 21:00:00,1.36186,1.36281,1.35619,1.3567
7/16/2014 21:00:00,1.35672,1.35724,1.35208,1.35248
7/17/2014 21:00:00,1.35247,1.35403,1.35165,1.3526
7/20/2014 21:00:00,1.3527,1.35359,1.34908,1.35238
7/21/2014 21:00:00,1.35277,1.3549,1.35129,1.35233
7/22/2014 21:00:00,1.35234,1.35295,1.34589,1.34653
7/23/2014 21:00:00,1.34655,1.34741,1.3455,1.34631
7/24/2014 21:00:00,1.34633,1.34847,1.3438,1.34636
7/27/2014 21:00:00,1.34635,1.34755,1.34212,1.34296
7/28/2014 21:00:00,1.34308,1.34438,1.34268,1.34396
7/29/2014 21:00:00,1.3438,1.34445,1.34042,1.34083
7/30/2014 21:00:00,1.34083,1.34153,1.33668,1.33968
7/31/2014 21:00:00,1.33958,1.34004,1.33715,1.33903
8/1/2014 21:00:00,1.33893,1.34447,1.33785,1.34268
8/2/2014 21:00:00,1.34227,1.34227,1.34227,1.34227
8/3/2014 21:00:00,1.34326,1.34326,1.34301,1.34319
8/4/2014 21:00:00,1.34312,1.34336,1.34094,1.34214
8/5/2014 21:00:00,1.34216,1.34247,1.33582,1.33759
8/6/2014 21:00:00,1.33757,1.33868,1.33332,1.3382
8/7/2014 21:00:00,1.33833,1.33937,1.33371,1.33632
8/8/2014 21:00:00,1.33629,1.34327,1.33434,1.34087
8/10/2014 21:00:00,1.34088,1.34088,1.34088,1.34088
8/11/2014 21:00:00,1.34075,1.34114,1.33804,1.33849
8/12/2014 21:00:00,1.33845,1.33861,1.3336,1.33688
8/13/2014 21:00:00,1.33691,1.34152,1.33422,1.3364
8/14/2014 21:00:00,1.33639,1.34077,1.33486,1.33645
8/17/2014 21:00:00,1.33644,1.34117,1.33587,1.33983
8/18/2014 21:00:00,1.33982,1.33991,1.33529,1.33632
8/19/2014 21:00:00,1.33634,1.33637,1.33131,1.33196
8/20/2014 21:00:00,1.33178,1.33243,1.32553,1.3259
8/21/2014 21:00:00,1.32592,1.32884,1.3242,1.32807
8/24/2014 21:00:00,1.32806,1.32966,1.32207,1.32415
8/25/2014 21:00:00,1.31981,1.32103,1.31837,1.31918
8/26/2014 21:00:00,1.31917,1.32146,1.31646,1.31673
8/27/2014 21:00:00,1.31681,1.321,1.31526,1.31926
8/28/2014 21:00:00,1.31933,1.32207,1.31597,1.31818
8/31/2014 21:00:00,1.31819,1.31961,1.31317,1.31322
9/1/2014 21:00:00,1.31269,1.31453,1.3119,1.31284
9/2/2014 21:00:00,1.31279,1.31366,1.31103,1.31327
9/3/2014 21:00:00,1.3133,1.31599,1.3122,1.31502
9/4/2014 21:00:00,1.315,1.31538,1.292,1.29432
9/7/2014 21:00:00,1.29433,1.29885,1.29219,1.29505
9/8/2014 21:00:00,1.29536,1.29589,1.28814,1.28944
9/9/2014 21:00:00,1.28941,1.29573,1.28594,1.29372
9/10/2014 21:00:00,1.29432,1.29628,1.28836,1.29167
9/11/2014 21:00:00,1.29168,1.29518,1.28971,1.29236
9/14/2014 21:00:00,1.29235,1.29794,1.29088,1.29628
9/15/2014 21:00:00,1.29722,1.29735,1.29086,1.29397
9/16/2014 21:00:00,1.29396,1.29949,1.29222,1.29594
9/17/2014 21:00:00,1.29593,1.29813,1.2852,1.28643
9/18/2014 21:00:00,1.28645,1.29303,1.28345,1.29217
9/19/2014 21:00:00,1.29214,1.29287,1.28278,1.28283
9/21/2014 21:00:00,1.28285,1.28285,1.28285,1.28285
9/22/2014 21:00:00,1.28334,1.28678,1.28162,1.28491
9/23/2014 21:00:00,1.28495,1.29012,1.28426,1.28464
9/24/2014 21:00:00,1.28463,1.28637,1.27741,1.27802
9/25/2014 21:00:00,1.27801,1.27834,1.26971,1.275
9/26/2014 21:00:00,1.27501,1.27605,1.26768,1.26822
9/28/2014 21:00:00,1.26809,1.26809,1.26809,1.26809
9/29/2014 21:00:00,1.26811,1.27149,1.26635,1.2685
9/30/2014 21:00:00,1.26861,1.27023,1.2571,1.26302
10/1/2014 21:00:00,1.26291,1.26395,1.25835,1.26223
10/2/2014 21:00:00,1.26181,1.26988,1.26138,1.26683
10/3/2014 21:00:00,1.26688,1.26746,1.25006,1.25147
10/5/2014 21:00:00,1.25149,1.25149,1.25149,1.25149
10/6/2014 21:00:00,1.25118,1.26749,1.25089,1.26546
10/7/2014 21:00:00,1.26532,1.26819,1.25836,1.26686
10/8/2014 21:00:00,1.26683,1.27487,1.26227,1.27337
10/9/2014 21:00:00,1.27373,1.27914,1.26643,1.26902
10/10/2014 21:00:00,1.26907,1.27159,1.26056,1.26272
10/12/2014 21:00:00,1.26269,1.26269,1.26269,1.26269
10/13/2014 21:00:00,1.2631,1.27611,1.26203,1.27511
